#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0044282	small molecule catabolic process	6	424	1.4	4.70e-05	9606.ENSP00000245206,9606.ENSP00000300051,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000359539,9606.ENSP00000405573	GOT2,LDHD,PKM,PKLR,GOT1,GPI
GO:0046394	carboxylic acid biosynthetic process	5	290	1.49	0.00031	9606.ENSP00000245206,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000359539,9606.ENSP00000437783	GOT2,PKM,PKLR,GOT1,LDHC
GO:0019693	ribose phosphate metabolic process	5	329	1.43	0.00047	9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000377192,9606.ENSP00000405573,9606.ENSP00000437783	PKM,PKLR,G6PD,GPI,LDHC
GO:0061621	canonical glycolysis	3	27	2.3	0.00047	9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000405573	PKM,PKLR,GPI
GO:0006754	ATP biosynthetic process	3	35	2.18	0.00071	9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000437783	PKM,PKLR,LDHC
GO:0006091	generation of precursor metabolites and energy	5	405	1.34	0.00097	9606.ENSP00000320171,9606.ENSP00000321070,9606.ENSP00000339933,9606.ENSP00000377192,9606.ENSP00000405573	PKM,ME2,PKLR,G6PD,GPI
GO:0019550	glutamate catabolic process to aspartate	2	2	3.25	0.00097	9606.ENSP00000245206,9606.ENSP00000359539	GOT2,GOT1
GO:0019551	glutamate catabolic process to 2-oxoglutarate	2	2	3.25	0.00097	9606.ENSP00000245206,9606.ENSP00000359539	GOT2,GOT1
GO:0046390	ribose phosphate biosynthetic process	4	168	1.63	0.00097	9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000377192,9606.ENSP00000437783	PKM,PKLR,G6PD,LDHC
GO:0006532	aspartate biosynthetic process	2	3	3.07	0.0013	9606.ENSP00000245206,9606.ENSP00000359539	GOT2,GOT1
GO:0046034	ATP metabolic process	4	204	1.54	0.0016	9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000405573,9606.ENSP00000437783	PKM,PKLR,GPI,LDHC
GO:0006533	aspartate catabolic process	2	4	2.95	0.0017	9606.ENSP00000245206,9606.ENSP00000359539	GOT2,GOT1
GO:0032868	response to insulin	4	231	1.49	0.0021	9606.ENSP00000245206,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000359539	GOT2,PKM,PKLR,GOT1
GO:0042866	pyruvate biosynthetic process	2	6	2.77	0.0025	9606.ENSP00000320171,9606.ENSP00000339933	PKM,PKLR
GO:0006107	oxaloacetate metabolic process	2	8	2.65	0.0039	9606.ENSP00000245206,9606.ENSP00000359539	GOT2,GOT1
GO:1901576	organic substance biosynthetic process	8	2734	0.72	0.0047	9606.ENSP00000245206,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000359539,9606.ENSP00000377192,9606.ENSP00000377532,9606.ENSP00000405573,9606.ENSP00000437783	GOT2,PKM,PKLR,GOT1,G6PD,PC,GPI,LDHC
GO:0009150	purine ribonucleotide metabolic process	4	303	1.37	0.0050	9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000405573,9606.ENSP00000437783	PKM,PKLR,GPI,LDHC
GO:0043648	dicarboxylic acid metabolic process	3	93	1.76	0.0050	9606.ENSP00000245206,9606.ENSP00000321070,9606.ENSP00000359539	GOT2,ME2,GOT1
GO:0044237	cellular metabolic process	11	7513	0.42	0.0069	9606.ENSP00000245206,9606.ENSP00000300051,9606.ENSP00000320171,9606.ENSP00000321070,9606.ENSP00000339933,9606.ENSP00000359539,9606.ENSP00000377192,9606.ENSP00000377532,9606.ENSP00000379386,9606.ENSP00000405573,9606.ENSP00000437783	GOT2,LDHD,PKM,ME2,PKLR,GOT1,G6PD,PC,LDHB,GPI,LDHC
GO:0006089	lactate metabolic process	2	13	2.44	0.0076	9606.ENSP00000300051,9606.ENSP00000437783	LDHD,LDHC
GO:0071704	organic substance metabolic process	11	7755	0.4	0.0091	9606.ENSP00000245206,9606.ENSP00000300051,9606.ENSP00000320171,9606.ENSP00000321070,9606.ENSP00000339933,9606.ENSP00000359539,9606.ENSP00000377192,9606.ENSP00000377532,9606.ENSP00000379386,9606.ENSP00000405573,9606.ENSP00000437783	GOT2,LDHD,PKM,ME2,PKLR,GOT1,G6PD,PC,LDHB,GPI,LDHC
GO:0051156	glucose 6-phosphate metabolic process	2	23	2.19	0.0180	9606.ENSP00000377192,9606.ENSP00000405573	G6PD,GPI
GO:1901615	organic hydroxy compound metabolic process	4	467	1.18	0.0192	9606.ENSP00000300051,9606.ENSP00000359539,9606.ENSP00000377192,9606.ENSP00000437783	LDHD,GOT1,G6PD,LDHC
GO:0032869	cellular response to insulin stimulus	3	169	1.5	0.0205	9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000359539	PKM,PKLR,GOT1
GO:0072330	monocarboxylic acid biosynthetic process	3	183	1.46	0.0248	9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000437783	PKM,PKLR,LDHC
GO:1901617	organic hydroxy compound biosynthetic process	3	187	1.46	0.0258	9606.ENSP00000359539,9606.ENSP00000377192,9606.ENSP00000437783	GOT1,G6PD,LDHC
GO:1901575	organic substance catabolic process	6	1750	0.79	0.0290	9606.ENSP00000245206,9606.ENSP00000300051,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000359539,9606.ENSP00000405573	GOT2,LDHD,PKM,PKLR,GOT1,GPI
